city,area_name,place_id,name,rating,popularity,price_level,types_csv,address,category_main
基隆市,中正區,ChIJaSHUdt9PXTQRW0t5n-8roLU,慶有餘麵館,4.5,335,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路244號,中式
基隆市,中正區,ChIJ939R1zhOXTQRKlzKQRq7Tmc,小樽食堂,4.1,271,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區義三路5號,其他
台北市,信義區,ChIJJ4zWvACrQjQRfklXErrIHi0,Twozzim韓國燉雞-台北信義店,4.9,1213,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號4 樓,其他
台北市,信義區,ChIJn5ICJACrQjQRcTt_D1Lwzb0,金叉子義廚微風信義店,4.5,70,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段68號4 樓,其他
台北市,信義區,ChIJpzAkec2rQjQRLYceVmNNtq4,默爾 pasta pizza(台北信義威秀店),4.8,2070,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路20號2樓,義式
台北市,信義區,ChIJTb-0xPqrQjQRyldoASUCmPU,gubami Social,4.4,861,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路9號6樓,其他
台北市,信義區,ChIJVy06trurQjQRdVZji3iIB6E,吉豚屋 信義旗艦店,4.9,6951,2.0,"restaurant,point_of_interest,food,establishment",106台灣台北市大安區信義路四段263號,其他
台北市,信義區,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ,輪輪1976 和食茶酒駅/ Lun Lun1976/台北信義餐酒館/包廂餐廳,4.3,1363,3.0,"restaurant,point_of_interest,food,establishment",110405台灣台北市信義區松壽路11號3樓,其他
台北市,信義區,ChIJ76tu-EmrQjQRC_xbmO-rN9I,85TD,4.4,1164,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路五段7號,其他
台北市,信義區,ChIJS6tN5nCrQjQRViIItrTnwug,稻舍食館 統一時代店,4.4,732,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段8號號 B2,其他
台北市,信義區,ChIJeQf0EKSrQjQR74UixvTor74,M One Cafe A11,4.5,2526,2.0,"restaurant,cafe,store,point_of_interest,food,establishment",110台灣台北市信義區松壽路11號3樓,咖啡廳
